timestamp_utc,snapshot_id,page_sha256,card_id,base_id,name,rating,position,price,source
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-204638,204638,Orbán,83,CB,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-207862,207862,Ginter,83,CB,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-212616,212616,De Paul,83,CM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-216435,216435,Lobotka,83,CM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-224371,224371,Bowen,83,RM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-227647,227647,Mittelstädt,83,LB,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-234236,234236,Schick,83,ST,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-237086,237086,Kim Min Jae,83,CB,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-258680,258680,van Domselaar,83,GK,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-262093,262093,Nüsken,83,CDM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-222077,222077,Locatelli,84,CDM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-223848,223848,Milinković-Savić,84,CM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-230142,230142,Oyarzabal,84,ST,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-236987,236987,Kamara,84,CDM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-239345,239345,Dallmann,84,RM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-245824,245824,Yamashita,84,GK,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-247513,247513,Gilles,84,CB,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-248148,248148,Zubimendi,84,CDM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-265063,265063,Minge,84,CDM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-267382,267382,Girma,84,CB,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-272094,272094,Fiamma Benítez,84,CAM,650,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-240714,240714,Roord,85,CM,900,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-265340,265340,Park,85,RM,900,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-199503,199503,Xhaka,85,CDM,1000,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-227110,227110,Foord,85,LM,1000,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-244176,244176,Undav,85,ST,1000,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-246641,246641,Nnadozie,85,GK,1000,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-240030,240030,Carpenter,85,RB,1100,https://www.fut.gg/cheapest-by-rating/
2026-09-17T13:02:31.216445+00:00,efe8909e63d44d6b,2bd94464452b5d944addb4d4fe1f09b5c07dd5c7d291942571262110e9eb2ff6,27-245956,245956,Endler,85,GK,1100,https://www.fut.gg/cheapest-by-rating/
