timestamp_utc,snapshot_id,market_data_sha256,card_id,name,rating,position,segment,price,n_independent,span_hours,coverage_windows,return_4h_pct,return_24h_pct,return_3d_pct,return_7d_pct,rating_relative_pct,persistence,volatility,liquidity_inferred,confidence,regime,target_sale,break_even_buy,net_roi_pct,signal,reason
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-201024,Koulibaly,82,CB,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-209499,Fabinho,82,CDM,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-212194,Brandt,82,CAM,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-220697,Maddison,82,CM,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-227069,Linari,82,CB,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-227072,Bonansea,82,LM,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-203980,Fortounis,83,CAM,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-204638,Orbán,83,CB,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-212616,De Paul,83,CM,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
2026-09-17T14:29:14.091766+00:00,05ed9459869c4b91,138897a16aa0914192abc57bfd0a1d160e18ed6dc1d702edd5bc42a09398e412,27-227647,Mittelstädt,83,LB,fodder,650,2,1.45,0,,,,,0.0,0,,2,22,PRE_EARLY_ACCESS,650,600,-5.0,WAIT,histórico o cobertura temporal insuficientes
